Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Aurora,14,60,96%,9.0,5.0,64%,5.6,3.5,33:36:00,7.6,684.0,394.0,-2.6,-7.0,-94.0
Yone,28,45,95%,18.0,10.0,64%,4.3,3.4,32:14:00,9.5,645.0,442.0,5.4,303.0,265.0
Skarner,32,35,87%,23.0,9.0,72%,5.7,3.9,32:02:00,5.9,346.0,338.0,-0.8,11.0,82.0
Jax,35,28,82%,19.0,16.0,54%,3,5.2,34:25:00,8.0,440.0,402.0,-5.1,38.0,-164.0
Ashe,18,43,79%,13.0,5.0,72%,6.2,6.1,33:30:00,9.5,553.0,444.0,-2.8,-156.0,17.0
Rell,42,16,75%,20.0,22.0,48%,2.6,8.7,33:53:00,1.1,130.0,243.0,0.0,-53.0,-114.0
Kalista,17,39,73%,10.0,7.0,59%,4.2,5.1,34:51:00,9.2,554.0,438.0,-5.4,-195.0,-385.0
Kaisa,29,26,71%,16.0,13.0,55%,5.7,7.9,32:52:00,10.0,742.0,467.0,-4.6,-274.0,-132.0
Gnar,30,20,65%,19.0,11.0,63%,3.3,4.6,32:45:00,8.1,509.0,407.0,-0.5,-167.0,-190.0
Ziggs,9,36,58%,4.0,5.0,44%,4.7,4.7,31:14:00,9.8,728.0,431.0,5.6,87.0,480.0
Ezreal,22,21,56%,12.0,10.0,55%,5.1,8,32:58:00,9.8,849.0,443.0,1.5,27.0,132.0
Orianna,19,24,56%,8.0,11.0,42%,4,4.4,33:25:00,8.4,565.0,386.0,4.7,-86.0,17.0
Poppy,15,27,55%,4.0,11.0,27%,2.5,6.2,35:30:00,3.7,262.0,281.0,-2.3,-60.0,-157.0
Rumble,22,20,55%,12.0,10.0,55%,3.3,4,32:57:00,7.6,647.0,383.0,7.0,105.0,279.0
Vi,24,18,55%,10.0,14.0,42%,2.3,5.4,33:15:00,6.2,289.0,340.0,-2.0,-23.0,74.0
Renekton,16,22,49%,4.0,12.0,25%,1.6,4,33:54:00,7.8,426.0,375.0,2.6,40.0,150.0
Rakan,21,17,49%,14.0,7.0,67%,5.3,7.3,31:08:00,1.2,142.0,258.0,-1.5,99.0,-99.0
Sejuani,23,12,45%,10.0,13.0,43%,3.3,6.1,33:01:00,5.5,304.0,316.0,-4.2,-126.0,-195.0
Ahri,25,8,43%,11.0,14.0,44%,4.9,4.5,33:26:00,8.7,604.0,409.0,1.1,94.0,28.0
Leona,22,11,43%,12.0,10.0,55%,2.5,9,34:22:00,1.1,175.0,239.0,-2.0,-268.0,-176.0
Renata Glasc,13,17,39%,6.0,7.0,46%,3.8,7.5,35:17:00,1.2,173.0,252.0,-1.9,321.0,332.0
Jhin,18,9,35%,5.0,13.0,28%,4.4,8.2,32:56:00,9.7,577.0,413.0,4.2,128.0,77.0
Xayah,11,16,35%,7.0,4.0,64%,4.1,7.3,32:06:00,10.4,664.0,465.0,3.3,459.0,143.0
Sylas,15,12,35%,9.0,6.0,60%,4.1,5.2,34:21:00,8.4,490.0,405.0,-0.6,-74.0,106.0
Smolder,14,13,35%,5.0,9.0,36%,3.2,5.8,33:28:00,9.8,835.0,435.0,-4.0,-220.0,-356.0
Nocturne,20,6,34%,8.0,12.0,40%,3.6,5.8,33:00:00,6.4,313.0,347.0,4.2,62.0,-25.0
Maokai,17,8,32%,9.0,8.0,53%,3.1,6.6,32:24:00,4.3,294.0,294.0,-10.0,-491.0,-379.0
Ksante,11,12,30%,5.0,6.0,45%,3.1,7.3,32:51:00,7.3,483.0,373.0,-3.8,-57.0,234.0
Ivern,4,18,29%,2.0,2.0,50%,4.4,2.5,37:18:00,5.8,168.0,332.0,-2.0,339.0,-134.0
Alistar,14,7,27%,5.0,9.0,36%,2.4,8.6,31:44:00,1.1,115.0,227.0,3.5,-73.0,289.0
Neeko,9,10,25%,5.0,4.0,56%,3.3,4.7,30:39:00,5.8,528.0,351.0,3.9,512.0,261.0
Braum,10,8,23%,7.0,3.0,70%,3.8,7.4,34:24:00,1.1,157.0,241.0,3.3,238.0,512.0
Nidalee,4,13,22%,2.0,2.0,50%,7.5,3,31:21:00,7.4,645.0,400.0,9.5,292.0,332.0
Lucian,5,11,21%,0.0,5.0,0%,2,6.2,37:46:00,8.5,604.0,389.0,-5.0,-30.0,-44.0
Miss Fortune,11,4,19%,3.0,8.0,27%,3.1,9.5,34:35:00,9.6,686.0,435.0,0.9,117.0,-98.0
Tristana,8,5,17%,3.0,5.0,38%,3.1,8,32:28:00,9.0,588.0,428.0,-8.5,-385.0,-371.0
Nautilus,8,4,16%,3.0,5.0,38%,1.6,9,29:06:00,1.2,183.0,242.0,0.0,-38.0,-388.0
Akali,8,2,13%,2.0,6.0,25%,2.2,3,28:27:00,8.1,512.0,379.0,-10.0,-740.0,-309.0
Brand,3,7,13%,2.0,1.0,67%,8.5,5.9,34:13:00,6.9,581.0,380.0,21.3,1259.0,973.0
Galio,8,2,13%,6.0,2.0,75%,4.5,7.5,34:58:00,7.6,451.0,374.0,2.2,599.0,381.0
Leblanc,3,7,13%,3.0,0.0,100%,5.4,5,37:53:00,7.9,765.0,425.0,7.3,361.0,579.0
Wukong,6,4,13%,3.0,3.0,50%,3.4,7.8,32:25:00,6.0,373.0,347.0,-2.2,160.0,-160.0
Xin Zhao,7,2,12%,3.0,4.0,43%,3.4,8,34:04:00,6.4,386.0,340.0,2.6,285.0,-137.0
Shyvana,0,8,10%,,,,,2.1,,,,,,,
Syndra,6,2,10%,2.0,4.0,33%,2.6,8,34:41:00,8.0,570.0,386.0,-0.3,-532.0,-376.0
Varus,6,1,9%,3.0,3.0,50%,3.5,9,36:21:00,9.1,710.0,441.0,7.2,364.0,-79.0
Amumu,3,3,8%,0.0,3.0,0%,1.9,8,36:46:00,5.8,449.0,317.0,13.3,-227.0,265.0
Cassiopeia,3,3,8%,1.0,2.0,33%,2.4,7,36:09:00,8.7,467.0,378.0,-1.0,-573.0,-462.0
Draven,2,3,6%,1.0,1.0,50%,2.5,7.7,26:36:00,9.1,573.0,512.0,-11.0,1220.0,-90.0
Gragas,4,1,6%,3.0,1.0,75%,6.8,9,31:15:00,7.5,394.0,372.0,10.8,177.0,309.0
Olaf,3,2,6%,1.0,2.0,33%,1.6,7.5,33:13:00,7.8,621.0,393.0,-20.7,-861.0,-986.0
Zyra,3,2,6%,0.0,3.0,0%,2.4,5,35:29:00,6.8,656.0,358.0,22.7,437.0,773.0
Kindred,2,3,6%,1.0,1.0,50%,3,6.7,33:55:00,7.3,528.0,357.0,20.5,270.0,486.0
Yasuo,3,1,5%,2.0,1.0,67%,4,7,33:43:00,8.6,511.0,423.0,-1.3,284.0,344.0
Caitlyn,3,0,4%,1.0,2.0,33%,5.8,-,34:14:00,10.2,590.0,432.0,7.0,-207.0,322.0
Jinx,2,1,4%,0.0,2.0,0%,3.7,3,38:31:00,10.2,560.0,418.0,19.0,391.0,670.0
Kennen,3,0,4%,1.0,2.0,33%,3.5,-,38:17:00,8.2,610.0,382.0,2.3,-385.0,-503.0
Twitch,1,2,4%,1.0,0.0,100%,17,9.5,33:11:00,9.8,940.0,498.0,-15.0,323.0,57.0
Urgot,2,1,4%,1.0,1.0,50%,2.3,9,38:01:00,8.9,649.0,443.0,-4.5,197.0,73.0
Camille,3,0,4%,2.0,1.0,67%,4.8,-,33:54:00,8.5,400.0,421.0,2.7,-173.0,-401.0
Seraphine,1,2,4%,1.0,0.0,100%,-,1,31:48:00,7.6,478.0,376.0,2.0,311.0,487.0
Blitzcrank,0,2,3%,,,,,7.5,,,,,,,
Jarvan Iv,1,1,3%,1.0,0.0,100%,6.3,5,33:07:00,6.2,397.0,411.0,-28.0,-563.0,-964.0
Lulu,1,1,3%,1.0,0.0,100%,12,7,38:08:00,0.8,193.0,254.0,-1.0,-771.0,-274.0
Nami,1,1,3%,0.0,1.0,0%,12,8,42:14:00,1.1,259.0,217.0,3.0,116.0,20.0
Nunu,2,0,3%,1.0,1.0,50%,4.2,-,32:10:00,6.7,306.0,360.0,-11.5,-862.0,-574.0
Sion,2,0,3%,1.0,1.0,50%,1.4,-,29:11:00,8.2,377.0,348.0,25.5,789.0,272.0
Bard,1,1,3%,1.0,0.0,100%,-,8,31:57:00,1.8,152.0,266.0,10.0,511.0,790.0
Tahm Kench,1,1,3%,0.0,1.0,0%,0.5,10,38:08:00,0.7,202.0,224.0,1.0,771.0,274.0
Pyke,2,0,3%,2.0,0.0,100%,6,-,35:30:00,1.1,215.0,286.0,-1.5,798.0,584.0
Viego,1,1,3%,0.0,1.0,0%,0,10,33:45:00,7.1,123.0,306.0,11.0,-249.0,378.0
Zeri,2,0,3%,1.0,1.0,50%,4,-,39:47:00,10.1,950.0,441.0,10.5,497.0,-290.0
Darius,1,0,1%,0.0,1.0,0%,1.3,-,33:28:00,7.6,414.0,348.0,-15.0,-952.0,-1226.0
Elise,1,0,1%,0.0,1.0,0%,6,-,31:37:00,6.3,299.0,307.0,0.0,-313.0,258.0
Fiddlesticks,1,0,1%,0.0,1.0,0%,1.5,-,30:12:00,6.1,287.0,310.0,5.0,475.0,5.0
Jayce,1,0,1%,1.0,0.0,100%,7,-,28:09:00,8.2,1063.0,478.0,27.0,1544.0,1302.0
Kassadin,1,0,1%,1.0,0.0,100%,-,-,26:35:00,10.2,749.0,505.0,-1.0,1461.0,731.0
Lee Sin,1,0,1%,1.0,0.0,100%,3.3,-,43:04:00,5.3,361.0,329.0,14.0,417.0,909.0
Lux,1,0,1%,0.0,1.0,0%,3.2,-,43:04:00,1.3,408.0,239.0,6.0,182.0,220.0
Morgana,1,0,1%,1.0,0.0,100%,7.5,-,35:05:00,5.8,404.0,323.0,13.0,633.0,1061.0
Ryze,1,0,1%,0.0,1.0,0%,4.3,-,34:38:00,9.5,774.0,397.0,3.0,-13.0,538.0
Swain,1,0,1%,0.0,1.0,0%,1.3,-,26:31:00,9.3,490.0,372.0,-9.0,-444.0,93.0
Taric,1,0,1%,0.0,1.0,0%,2.3,-,34:38:00,1.2,80.0,237.0,4.0,-876.0,106.0
Taliyah,0,1,1%,,,,,7,,,,,,,
Kled,1,0,1%,0.0,1.0,0%,1,-,29:06:00,8.5,430.0,344.0,-7.0,-995.0,1.0
Senna,1,0,1%,0.0,1.0,0%,4,-,32:35:00,1.5,356.0,287.0,12.0,125.0,1067.0
Sett,1,0,1%,0.0,1.0,0%,0.7,-,30:12:00,8.7,330.0,361.0,-12.0,-191.0,616.0
Lillia,1,0,1%,0.0,1.0,0%,4,-,45:40:00,6.7,386.0,347.0,-7.0,-865.0,-495.0
Hwei,1,0,1%,1.0,0.0,100%,19,-,37:44:00,7.2,778.0,442.0,-11.0,-26.0,-727.0
Aatrox,0,0,0%,,,,,-,,,,,,,
Anivia,0,0,0%,,,,,-,,,,,,,
Annie,0,0,0%,,,,,-,,,,,,,
Chogath,0,0,0%,,,,,-,,,,,,,
Corki,0,0,0%,,,,,-,,,,,,,
Diana,0,0,0%,,,,,-,,,,,,,
Dr Mundo,0,0,0%,,,,,-,,,,,,,
Evelynn,0,0,0%,,,,,-,,,,,,,
Fiora,0,0,0%,,,,,-,,,,,,,
Fizz,0,0,0%,,,,,-,,,,,,,
Gangplank,0,0,0%,,,,,-,,,,,,,
Garen,0,0,0%,,,,,-,,,,,,,
Graves,0,0,0%,,,,,-,,,,,,,
Hecarim,0,0,0%,,,,,-,,,,,,,
Heimerdinger,0,0,0%,,,,,-,,,,,,,
Irelia,0,0,0%,,,,,-,,,,,,,
Janna,0,0,0%,,,,,-,,,,,,,
Karma,0,0,0%,,,,,-,,,,,,,
Karthus,0,0,0%,,,,,-,,,,,,,
Katarina,0,0,0%,,,,,-,,,,,,,
Kayle,0,0,0%,,,,,-,,,,,,,
Khazix,0,0,0%,,,,,-,,,,,,,
Kogmaw,0,0,0%,,,,,-,,,,,,,
Lissandra,0,0,0%,,,,,-,,,,,,,
Malphite,0,0,0%,,,,,-,,,,,,,
Malzahar,0,0,0%,,,,,-,,,,,,,
Master Yi,0,0,0%,,,,,-,,,,,,,
Mordekaiser,0,0,0%,,,,,-,,,,,,,
Nasus,0,0,0%,,,,,-,,,,,,,
Pantheon,0,0,0%,,,,,-,,,,,,,
Quinn,0,0,0%,,,,,-,,,,,,,
Rammus,0,0,0%,,,,,-,,,,,,,
Rengar,0,0,0%,,,,,-,,,,,,,
Riven,0,0,0%,,,,,-,,,,,,,
Shaco,0,0,0%,,,,,-,,,,,,,
Shen,0,0,0%,,,,,-,,,,,,,
Singed,0,0,0%,,,,,-,,,,,,,
Sivir,0,0,0%,,,,,-,,,,,,,
Sona,0,0,0%,,,,,-,,,,,,,
Soraka,0,0,0%,,,,,-,,,,,,,
Talon,0,0,0%,,,,,-,,,,,,,
Teemo,0,0,0%,,,,,-,,,,,,,
Thresh,0,0,0%,,,,,-,,,,,,,
Trundle,0,0,0%,,,,,-,,,,,,,
Tryndamere,0,0,0%,,,,,-,,,,,,,
Twisted Fate,0,0,0%,,,,,-,,,,,,,
Udyr,0,0,0%,,,,,-,,,,,,,
Vayne,0,0,0%,,,,,-,,,,,,,
Veigar,0,0,0%,,,,,-,,,,,,,
Viktor,0,0,0%,,,,,-,,,,,,,
Vladimir,0,0,0%,,,,,-,,,,,,,
Volibear,0,0,0%,,,,,-,,,,,,,
Warwick,0,0,0%,,,,,-,,,,,,,
Xerath,0,0,0%,,,,,-,,,,,,,
Yorick,0,0,0%,,,,,-,,,,,,,
Zac,0,0,0%,,,,,-,,,,,,,
Zed,0,0,0%,,,,,-,,,,,,,
Zilean,0,0,0%,,,,,-,,,,,,,
Azir,0,0,0%,,,,,-,,,,,,,
Reksai,0,0,0%,,,,,-,,,,,,,
Velkoz,0,0,0%,,,,,-,,,,,,,
Ekko,0,0,0%,,,,,-,,,,,,,
Illaoi,0,0,0%,,,,,-,,,,,,,
Aurelion Sol,0,0,0%,,,,,-,,,,,,,
Kayn,0,0,0%,,,,,-,,,,,,,
Ornn,0,0,0%,,,,,-,,,,,,,
Zoe,0,0,0%,,,,,-,,,,,,,
Yuumi,0,0,0%,,,,,-,,,,,,,
Qiyana,0,0,0%,,,,,-,,,,,,,
Aphelios,0,0,0%,,,,,-,,,,,,,
Samira,0,0,0%,,,,,-,,,,,,,
Gwen,0,0,0%,,,,,-,,,,,,,
Akshan,0,0,0%,,,,,-,,,,,,,
Vex,0,0,0%,,,,,-,,,,,,,
Belveth,0,0,0%,,,,,-,,,,,,,
Nilah,0,0,0%,,,,,-,,,,,,,
Milio,0,0,0%,,,,,-,,,,,,,
Naafiri,0,0,0%,,,,,-,,,,,,,
Briar,0,0,0%,,,,,-,,,,,,,
